"","date","dc","wday","month","year","week","summer"
"110",2016-04-19,0,"Tue","4",2016,"16","winter"
"111",2016-04-20,0,"Wed","4",2016,"16","winter"
"112",2016-04-21,1,"Thu","4",2016,"16","winter"
"113",2016-04-22,0,"Fri","4",2016,"17","winter"
"114",2016-04-23,0,"Sat","4",2016,"17","winter"
"115",2016-04-24,0,"Sun","4",2016,"17","winter"
"116",2016-04-25,0,"Mon","4",2016,"17","winter"
"117",2016-04-26,2,"Tue","4",2016,"17","winter"
"118",2016-04-27,1,"Wed","4",2016,"17","winter"
"119",2016-04-28,0,"Thu","4",2016,"17","winter"
"120",2016-04-29,1,"Fri","4",2016,"18","winter"
"121",2016-04-30,1,"Sat","4",2016,"18","winter"
"122",2016-05-01,0,"Sun","5",2016,"18","winter"
"123",2016-05-02,1,"Mon","5",2016,"18","winter"
"124",2016-05-03,0,"Tue","5",2016,"18","winter"
"125",2016-05-04,0,"Wed","5",2016,"18","winter"
"126",2016-05-05,1,"Thu","5",2016,"18","winter"
"127",2016-05-06,1,"Fri","5",2016,"19","winter"
"128",2016-05-07,2,"Sat","5",2016,"19","winter"
"129",2016-05-08,0,"Sun","5",2016,"19","winter"
"130",2016-05-09,1,"Mon","5",2016,"19","winter"
"131",2016-05-10,0,"Tue","5",2016,"19","winter"
"132",2016-05-11,0,"Wed","5",2016,"19","winter"
"133",2016-05-12,0,"Thu","5",2016,"19","winter"
"134",2016-05-13,1,"Fri","5",2016,"20","winter"
"135",2016-05-14,0,"Sat","5",2016,"20","winter"
"136",2016-05-15,1,"Sun","5",2016,"20","winter"
"137",2016-05-16,0,"Mon","5",2016,"20","winter"
"138",2016-05-17,0,"Tue","5",2016,"20","winter"
"139",2016-05-18,1,"Wed","5",2016,"20","winter"
"140",2016-05-19,0,"Thu","5",2016,"20","winter"
"141",2016-05-20,0,"Fri","5",2016,"21","winter"
"142",2016-05-21,0,"Sat","5",2016,"21","winter"
"143",2016-05-22,0,"Sun","5",2016,"21","winter"
"144",2016-05-23,0,"Mon","5",2016,"21","winter"
"145",2016-05-24,0,"Tue","5",2016,"21","winter"
"146",2016-05-25,0,"Wed","5",2016,"21","winter"
"147",2016-05-26,1,"Thu","5",2016,"21","winter"
"148",2016-05-27,0,"Fri","5",2016,"22","winter"
"149",2016-05-28,1,"Sat","5",2016,"22","winter"
"150",2016-05-29,0,"Sun","5",2016,"22","winter"
"151",2016-05-30,0,"Mon","5",2016,"22","winter"
"152",2016-05-31,2,"Tue","5",2016,"22","winter"
"153",2016-06-01,0,"Wed","6",2016,"22","summer"
"154",2016-06-02,0,"Thu","6",2016,"22","summer"
"155",2016-06-03,3,"Fri","6",2016,"23","summer"
"156",2016-06-04,1,"Sat","6",2016,"23","summer"
"157",2016-06-05,0,"Sun","6",2016,"23","summer"
"158",2016-06-06,0,"Mon","6",2016,"23","summer"
"159",2016-06-07,1,"Tue","6",2016,"23","summer"
"160",2016-06-08,1,"Wed","6",2016,"23","summer"
"161",2016-06-09,1,"Thu","6",2016,"23","summer"
"162",2016-06-10,0,"Fri","6",2016,"24","summer"
"163",2016-06-11,1,"Sat","6",2016,"24","summer"
"164",2016-06-12,1,"Sun","6",2016,"24","summer"
"165",2016-06-13,0,"Mon","6",2016,"24","summer"
"166",2016-06-14,0,"Tue","6",2016,"24","summer"
"167",2016-06-15,1,"Wed","6",2016,"24","summer"
"168",2016-06-16,0,"Thu","6",2016,"24","summer"
"169",2016-06-17,1,"Fri","6",2016,"25","summer"
"170",2016-06-18,0,"Sat","6",2016,"25","summer"
"171",2016-06-19,0,"Sun","6",2016,"25","summer"
"172",2016-06-20,0,"Mon","6",2016,"25","summer"
"173",2016-06-21,0,"Tue","6",2016,"25","summer"
"174",2016-06-22,1,"Wed","6",2016,"25","summer"
"175",2016-06-23,0,"Thu","6",2016,"25","summer"
"176",2016-06-24,1,"Fri","6",2016,"26","summer"
"177",2016-06-25,1,"Sat","6",2016,"26","summer"
"178",2016-06-26,0,"Sun","6",2016,"26","summer"
"179",2016-06-27,0,"Mon","6",2016,"26","summer"
"180",2016-06-28,2,"Tue","6",2016,"26","summer"
"181",2016-06-29,0,"Wed","6",2016,"26","summer"
"182",2016-06-30,1,"Thu","6",2016,"26","summer"
"183",2016-07-01,0,"Fri","7",2016,"27","summer"
"184",2016-07-02,0,"Sat","7",2016,"27","summer"
"185",2016-07-03,1,"Sun","7",2016,"27","summer"
"186",2016-07-04,0,"Mon","7",2016,"27","summer"
"187",2016-07-05,0,"Tue","7",2016,"27","summer"
"188",2016-07-06,0,"Wed","7",2016,"27","summer"
"189",2016-07-07,0,"Thu","7",2016,"27","summer"
"190",2016-07-08,1,"Fri","7",2016,"28","summer"
"191",2016-07-09,0,"Sat","7",2016,"28","summer"
"192",2016-07-10,0,"Sun","7",2016,"28","summer"
"193",2016-07-11,1,"Mon","7",2016,"28","summer"
"194",2016-07-12,0,"Tue","7",2016,"28","summer"
"195",2016-07-13,0,"Wed","7",2016,"28","summer"
"196",2016-07-14,0,"Thu","7",2016,"28","summer"
"197",2016-07-15,1,"Fri","7",2016,"29","summer"
"198",2016-07-16,0,"Sat","7",2016,"29","summer"
"199",2016-07-17,0,"Sun","7",2016,"29","summer"
